id,station_name,short_name,total_docks,docks_in_service,status,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4,reference_matched,station_key,station_first_trip_at,source_ids,name_variants,first_trip_archive,opening_date_status,earlier_same_name_trip_at,service_date_review_reasons
03a1610c-3ba0-4b85-b512-bc26791cb7ee,Eberhart Ave & 91st St,CHI00790,15,15,In Service,41.7292851573,-87.6110315323,"{""type"":""Point"",""coordinates"":[-87.611031532288,41.729285157255]}",31,21546,40,430,43,61,4,False,,,,,,,,
080ab938-2c1b-4fcf-a83d-74c5ae6ff305,Cottage Grove Ave & 111th Pl,CHI00842,15,15,In Service,41.6917097585,-87.610001564,"{""type"":""Point"",""coordinates"":[-87.610001564026,41.69170975847]}",30,21861,47,601,43,19,11,True,divvy_452633bda1806406,2020-08-26 18:34:16,20131 | 698 | CHI00842,Cottage Grove Ave & 111th Pl,202008-divvy-tripdata.zip,unverified_first_trip_proxy,,
0eeb6baf-c653-4a1a-af17-99f686116b89,Lawndale Ave & 111th St,CHI00802,15,15,In Service,41.6913191922,-87.7128857374,"{""type"":""Point"",""coordinates"":[-87.712885737419,41.691319192211]}",33,4447,73,264,42,33,19,True,divvy_f7dfe45f7f1d74c3,2020-10-15 16:05:17,20203 | 730 | 893 | CHI00802,Lawndale Ave & 111th St,202010-divvy-tripdata.zip,unverified_first_trip_proxy,,
0f9b826b-8885-4c25-96fd-9e2c2074c34e,Western Ave & 104th St,CHI00859,14,14,In Service,41.7045871022,-87.6812034845,"{""type"":""Point"",""coordinates"":[-87.681203484535,41.704587102189]}",33,22212,71,609,42,13,19,True,divvy_899a869d91e04d8b,2020-10-06 14:38:17,20123 | 725 | CHI00859,Western Ave & 104th St,202010-divvy-tripdata.zip,unverified_first_trip_proxy,,
10327d47-3c3a-433e-9e38-80638da64232,Indiana Ave & 103rd St,CHI00747,15,15,In Service,41.7071702712,-87.6184719801,"{""type"":""Point"",""coordinates"":[-87.618471980095,41.707170271178]}",30,21861,45,236,43,19,11,True,divvy_ef845ea1e25a545e,2020-08-20 16:52:16,20112 | 696 | CHI00747,Indiana Ave & 103rd St,202008-divvy-tripdata.zip,unverified_first_trip_proxy,,
13820eba-039d-4231-9228-005ab0f4e451,Bissell St & Armitage Ave,CHI02022,24,24,In Service,41.9182955629,-87.6521833241,"{""type"":""Point"",""coordinates"":[-87.652183324099,41.918295562935]}",51,21190,68,744,34,16,43,True,divvy_337598fef782739f,2013-09-05 14:44:00,113 | 13059 | Bissell St & Armitage Ave - Charging | CHI02022 | chargingstx1,Bissell St & Armitage Ave | Bissell St & Armitage Ave - Charging | Bissell St & Armitage Ave*,Divvy_Stations_Trips_2013.zip,unverified_first_trip_proxy,,
1436495105198659242,Sheffield Ave & Armitage Ave Public Rack,,6,6,In Service,41.917805,-87.653449,"{""type"":""Point"",""coordinates"":[-87.653449,41.917805]}",16,21190,68,168,34,16,43,True,divvy_8d4136c5a061a55b,2026-02-11 17:09:22.549000,CHI00836,Sheffield Ave & Armitage Ave Public Rack,202602-divvy-tripdata.zip,unverified_first_trip_proxy,,possible_rename
1436495105198659246,Carpenter St & Lake St Public Rack,,5,5,In Service,41.885586,-87.6531893,"{""type"":""Point"",""coordinates"":[-87.6531893,41.885586]}",41,14917,29,63,46,44,27,True,divvy_47666d31c12b304e,2026-04-09 14:17:20.882000,CHI00808,Carpenter St & Lake St Public Rack,202604-divvy-tripdata.zip,unverified_first_trip_proxy,,possible_rename
1436495109493626544,Washington Blvd & Peoria St Public Rack,,9,9,In Service,41.883043,-87.649931,"{""type"":""Point"",""coordinates"":[-87.649931,41.883043]}",41,14917,29,63,26,44,34,True,divvy_cefb8cc26f3f6776,2026-04-09 14:12:27.943000,CHI00806,Washington Blvd & Peoria St Public Rack,202604-divvy-tripdata.zip,unverified_first_trip_proxy,,possible_rename
1436495115557663136,Southport Ave & Newport Ave Public Rack,,10,10,In Service,41.944019,-87.663975,"{""type"":""Point"",""coordinates"":[-87.663975,41.944019]}",38,4449,57,239,25,22,44,True,divvy_e393eca7ec426829,2026-01-07 12:08:50.391000,CHI00834,Southport Ave & Newport Ave Public Rack,202601-divvy-tripdata.zip,unverified_first_trip_proxy,,possible_rename
