station_key,station_name,station_type,station_first_trip_at,earlier_same_name_trip_at,earlier_unlocated_same_name,current_feed_match_status,service_date_review_reasons,first_trip_archive,first_trip_id
divvy_a52492774ef17650,Clinton St & Washington Blvd,station,2013-06-27 01:06:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,3940
divvy_b5bcf9f700e39d00,Larrabee St & Kingsbury St 1,station,2013-06-27 09:46:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,3940
divvy_ea5f5fe4248f1db5,May St & Randolph St,station,2013-06-27 11:09:00,,,no_confirmed_match,possible_rename | first_archive_day,Divvy_Stations_Trips_2013.zip,4113
divvy_25477eec0ffe0b6e,Wood St & Division St,station,2013-06-27 11:24:00,,,no_confirmed_match,possible_rename | first_archive_day,Divvy_Stations_Trips_2013.zip,4134
divvy_85c37b553fa02aef,Michigan Ave & Oak St,station,2013-06-27 12:06:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4095
divvy_60921d72b8fdcfd4,Larrabee St & Menomonee St,station,2013-06-27 12:15:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4192
divvy_456c7ed952001441,Michigan Ave & Ida B Wells Dr,station,2013-06-27 13:00:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4216
divvy_1d2fd02d528e3f7e,Millennium Park,station,2013-06-27 13:03:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4216
divvy_2aa272152732acce,Wood St & Beach Ave,station,2013-06-27 14:38:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4134
divvy_b8cff87488c71eac,Broadway & Barry Ave,station,2013-06-27 14:40:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4263
divvy_41892d32b9d38f2f,Racine Ave & Congress Pkwy,station,2013-06-27 14:44:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4275
divvy_900a7d174e9738dd,Clinton St & Tilden St,station,2013-06-27 14:56:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4288
divvy_a56b2510c8994586,Throop (Loomis) St & Taylor St,station,2013-06-27 15:05:00,,,no_confirmed_match,first_archive_day,Divvy_Stations_Trips_2013.zip,4291
divvy_d38073c8048f0c4b,Halsted St & Wrightwood Ave,station,2013-06-27 15:05:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4289
divvy_433f72bf50d5b843,Halsted St & James M Rochford St,station,2013-06-27 15:27:00,,,no_confirmed_match,first_archive_day,Divvy_Stations_Trips_2013.zip,4342
divvy_655e9edc84ce7419,Loomis St & Lexington St,station,2013-06-27 15:54:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4378
divvy_3657b024be86aca6,Cannon Dr & Fullerton Ave,station,2013-06-27 16:01:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4162
divvy_0866820a3bb2ec24,Lincoln Ave & Eastwood Ave,station,2013-06-27 16:15:00,,,no_confirmed_match,first_archive_day,Divvy_Stations_Trips_2013.zip,4345
divvy_067fa29bf7e9ecc2,Wabash Ave & Cermak Rd,station,2013-06-27 16:34:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4389
divvy_20f0b12ede6f7e80,Franklin St & Jackson Blvd,station,2013-06-27 18:21:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4415
divvy_6cc9f16417d36aae,Daley Center Plaza,station,2013-06-27 18:32:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4427
divvy_d5d3f97a2752403e,Dearborn St & Adams St 1,station,2013-06-27 18:45:00,,,matched,possible_rename | first_archive_day,Divvy_Stations_Trips_2013.zip,4490
divvy_a74f078c3eff76c0,State St & Randolph St,station,2013-06-27 18:57:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4516
divvy_397b577c20a7a51d,DuSable Lake Shore Dr & Monroe St,station,2013-06-27 19:03:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4490
divvy_d981e52743e64fd6,Canal St & Jackson Blvd,station,2013-06-27 19:06:00,,,matched,possible_rename | first_archive_day,Divvy_Stations_Trips_2013.zip,4513
divvy_755360fe02c046bc,Clarendon Ave & Leland Ave,station,2013-06-27 19:10:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4518
divvy_5f5184139d24f9dc,Lincoln Ave & Armitage Ave,station,2013-06-27 19:20:00,,,no_confirmed_match,first_archive_day,Divvy_Stations_Trips_2013.zip,4564
divvy_bfe493902e2e8fc6,Clark St & Wrightwood Ave,station,2013-06-27 19:23:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4572
divvy_8813304f91f53ada,Ogden Ave & Chicago Ave,station,2013-06-27 19:34:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4255
divvy_0b3ce68bfeb47274,Sheffield Ave & Fullerton Ave,station,2013-06-27 19:35:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4476
divvy_e85c7bd199f42030,Southport Ave & Wrightwood Ave,station,2013-06-27 19:38:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4588
divvy_7db0a773b6b2c101,Michigan Ave & Lake St,station,2013-06-27 19:42:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4598
divvy_38247ca93fab3f69,Clark St & Randolph St,station,2013-06-27 19:46:00,,,no_confirmed_match,first_archive_day,Divvy_Stations_Trips_2013.zip,4607
divvy_f69dbb54f4f6512a,Fairbanks Ct & Grand Ave,station,2013-06-27 19:52:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4619
divvy_71a866c0525c5ece,Wabash Ave & Roosevelt Rd,station,2013-06-27 20:05:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4598
divvy_d899e81ccf255543,Sheffield Ave & Kingsbury St,station,2013-06-27 20:22:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4644
divvy_c2d5d64022d5faba,Franklin St & Chicago Ave,station,2013-06-27 20:50:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4698
divvy_e12476d9565963de,Wells St & Walton St,station,2013-06-27 20:50:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4644
divvy_84c828028dbaf247,Kingsbury St & Erie St,station,2013-06-27 20:57:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4725
divvy_741fc8f6f8067f48,Clinton St & Madison St,station,2013-06-27 21:15:00,,,matched,first_archive_day,Divvy_Stations_Trips_2013.zip,4764
divvy_9611fe0db7627494,Damen Ave & Pierce Ave,station,2013-06-27 21:39:00,,,matched,possible_rename | first_archive_day,Divvy_Stations_Trips_2013.zip,4793
